tweet_id	retweet_count	favorite_count
870726314365509632	3	109.0
870656317836468226	2252	11095.0
870374049280663552	23279	75450.0
870308999962521604	3617	19867.0
870063196459192321	7232	33052.0
869772420881756160	8875	38705.0
869702957897576449	5494	25549.0
869596645499047938	2693	14487.0
869227993411051520	3274	18503.0
868880397819494401	12558	59165.0
868639477480148993	1792	0.0
868622495443632128	4599	24125.0
868552278524837888	1792	9154.0
867900495410671616	3652	22017.0
867774946302451713	6391	30847.0
867421006826221569	2160	14616.0
867072653475098625	105	0.0
867051520902168576	6929	29291.0
866720684873056260	4213	18185.0
866686824827068416	3024	17472.0
866450705531457537	30981	111083.0
866334964761202691	12505	47549.0
866094527597207552	7336	0.0
865718153858494464	4962	23409.0
865359393868664832	4388	24088.0
865006731092295680	6804	25550.0
864873206498414592	7647	29356.0
864279568663928832	2636	13320.0
864197398364647424	7760	27223.0
863907417377173506	3667	18833.0
863553081350529029	3708	13930.0
863471782782697472	2130	0.0
863432100342583297	4646	21754.0
863427515083354112	81	1997.0
863079547188785154	979	8039.0
863062471531167744	2130	7675.0
862831371563274240	4560	17553.0
862722525377298433	3155	15645.0
862457590147678208	4343	18636.0
862096992088072192	20465	67698.0
861383897657036800	9499	32971.0
861288531465048066	3670	15692.0
861005113778896900	3397	15318.0
860981674716409858	1896	0.0
860924035999428608	694	0.0
860563773140209665	1896	6862.0
860524505164394496	4713	21709.0
860276583193509888	3140	16943.0
860184849394610176	5215	15288.0
860177593139703809	27450	0.0
859924526012018688	3667	18016.0
859851578198683649	3144	14247.0
859607811541651456	1383	17158.0
859196978902773760	26903	82337.0
859074603037188101	12226	31051.0
858860390427611136	7260	0.0
858843525470990336	3099	14406.0
858471635011153920	4366	19907.0
858107933456039936	2592	14541.0
857989990357356544	2312	14812.0
857746408056729600	9558	31493.0
857393404942143489	1472	5419.0
857263160327368704	4072	18599.0
857214891891077121	16	207.0
857062103051644929	151	0.0
857029823797047296	3575	17420.0
856543823941562368	2606	15159.0
856526610513747968	1696	11046.0
856288084350160898	15	494.0
856282028240666624	5705	25749.0
855862651834028034	22	310.0
855860136149123072	875	4519.0
855857698524602368	1901	11067.0
855851453814013952	16489	42754.0
855818117272018944	4929	24745.0
855459453768019968	7459	27668.0
855245323840757760	5397	0.0
855138241867124737	39	0.0
854732716440526848	5509	21155.0
854482394044301312	6173	27170.0
854365224396361728	4258	17569.0
854120357044912130	6775	29803.0
854010172552949760	2866	15156.0
853760880890318849	5237	26641.0
853639147608842240	9096	32262.0
853299958564483072	3244	14464.0
852936405516943360	1827	0.0
852912242202992640	1650	8427.0
852672615818899456	1978	13951.0
852553447878664193	3190	15230.0
852311364735569921	9089	30990.0
852226086759018497	6243	18713.0
852189679701164033	1452	10773.0
851861385021730816	19	0.0
851591660324737024	3204	15292.0
851464819735769094	6476	22783.0
851224888060895234	5294	19453.0
850753642995093505	8306	28799.0
850380195714523136	2393	12333.0
850333567704068097	305	3261.0
850145622816686080	3474	15345.0
850019790995546112	4490	19197.0
849776966551130114	6987	28525.0
849668094696017920	4564	0.0
849412302885593088	2902	14973.0
849336543269576704	1732	10780.0
849051919805034497	7831	39898.0
848690551926992896	4010	23794.0
848324959059550208	4271	23345.0
848213670039564288	666	7706.0
848212111729840128	2786	15361.0
847978865427394560	3013	0.0
847971574464610304	409	0.0
847962785489326080	4702	22224.0
847842811428974592	1217	5124.0
847617282490613760	382	6620.0
847606175596138505	3166	17749.0
847251039262605312	4018	19418.0
847157206088847362	5377	18771.0
847116187444137987	2945	20309.0
846874817362120707	3635	19013.0
846514051647705089	10677	42078.0
846505985330044928	2844	13370.0
846153765933735936	8397	29798.0
846139713627017216	9378	29405.0
846042936437604353	2653	15138.0
845812042753855489	8054	27686.0
845677943972139009	4487	23930.0
845397057150107648	1656	7255.0
845306882940190720	4996	22097.0
845098359547420673	7112	0.0
844979544864018432	2364	12940.0
844973813909606400	2936	14252.0
844580511645339650	2888	15612.0
844223788422217728	2032	12984.0
843981021012017153	2759	14440.0
843856843873095681	4283	20403.0
843604394117681152	2544	16068.0
843235543001513987	5567	20422.0
842846295480000512	3394	14548.0
842765311967449089	1195	6421.0
842535590457499648	3268	17278.0
842163532590374912	5397	23243.0
842115215311396866	2831	13309.0
841833993020538882	13951	0.0
841680585030541313	7324	24553.0
841439858740625411	3406	12013.0
841320156043304961	5160	18861.0
841314665196081154	4345	15089.0
841077006473256960	4992	21790.0
840761248237133825	1647	0.0
840728873075638272	14990	0.0
840698636975636481	2	169.0
840696689258311684	903	11716.0
840632337062862849	1647	8595.0
840370681858686976	4271	15687.0
840268004936019968	5359	18328.0
839990271299457024	2119	12817.0
839549326359670784	7260	26140.0
839290600511926273	136	0.0
839239871831150596	6082	25806.0
